slug,name,category,renderer_class,animation_class,recommended_tier,exact_registry_match,first_practical_path,cool_factor,source_seed,app_admission_gate,dedup_note,registry_status,promotion_batch
schroder_method_basin,Schroder Method Basin,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,root-finding shader template,Classic alternative to Newton/Halley,Schröder method source check,formula + visual proof,new-or-nonexact; run alias/dedup before promotion,candidate,
laguerre_method_basin,Laguerre Method Basin,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,root-finding shader template,Useful polynomial root method; app-friendly,Laguerre method source check,formula + convergence guards,new-or-nonexact; run alias/dedup before promotion,candidate,
secant_method_basin_with_seed_offset,Secant Method Basin With Seed Offset,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,two-seed shader template,Memory-like method without stateful renderer,secant method source check,parameter validation + frame proof,new-or-nonexact; run alias/dedup before promotion,candidate,
ehrlich_aberth_root_constellation_morph,Ehrlich-Aberth Root Constellation Morph,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,existing/root shader validation and presets,Animated roots splitting/rotating is screenshot/video friendly,Ehrlich-Aberth references source check,loop proof if marketed as loop,new-or-nonexact; run alias/dedup before promotion,candidate,
durand_kerner_root_tracking_morph,Durand-Kerner Root Tracking Morph,root finding / polynomiography,single_pass_root_finding,parameter_morph,reference_candidate,none,existing shader validation and presets,Shows simultaneous-root dynamics over time,Durand-Kerner references source check,frame delta + root path determinism,new-or-nonexact; run alias/dedup before promotion,candidate,
newton_basin_orthogonal_polynomial_atlas,Newton Basin Orthogonal Polynomial Atlas,root finding / special functions,single_pass_root_finding,parameter_morph,reference_candidate,none,Chebyshev/Legendre/Hermite/Laguerre presets,Educational pack with many distinct symmetric basins,orthogonal polynomial source check,avoid counting mere parameter presets as new types,new-or-nonexact; run alias/dedup before promotion,candidate,
newton_basins_for_trigonometric_equations,Newton Basins for Trigonometric Equations,root finding / transcendental,single_pass_root_finding,parameter_morph,reference_candidate,id,sin/cos/tan equation shader variants,Infinite roots create repeating basin tapestries,Newton fractal source check,pole guards + domain window presets,promoted to reference tier in frontier_reference_microbatch_2_2026_06_06,promoted_reference,frontier_reference_microbatch_2_2026_06_06
maskit_kleinian_limit_set,Maskit Kleinian Limit Set,kleinian / hyperbolic,raymarched_or_escape_limit_set,parameter_morph,reference_candidate,none,extend Kleinian limit-set shader,Pearl-chain limit sets and hyperbolic-group aesthetics,Kleinian group references source check,shader compile + parameter bounds,new-or-nonexact; run alias/dedup before promotion,candidate,
quasi_fuchsian_group_limit_set,Quasi-Fuchsian Group Limit Set,kleinian / hyperbolic,raymarched_or_escape_limit_set,parameter_morph,reference_candidate,none,reference first; shader prototype,Wild Jordan curves and 3D hyperbolic topology visuals,Kleinian group references source check,dedup + formula clarity,new-or-nonexact; run alias/dedup before promotion,candidate,
schottky_group_circle_inversion_limit_set,Schottky Group Circle Inversion Limit Set,kleinian / inversion,single_pass_or_raymarch,parameter_morph,reference_candidate,none,circle-inversion shader,Classic nested circles with tunable group generators,Schottky group source check,generator params + thumbnail proof,new-or-nonexact; run alias/dedup before promotion,candidate,
apollonian_sphere_packing_3d,Apollonian Sphere Packing 3D,3d / inversive geometry,raymarched_sdf,camera_path,reference_candidate,none,sphere inversion raymarcher,High-impact 3D packing image; premium catalog target,Apollonian packing source check,frame budget + compile proof,new-or-nonexact; run alias/dedup before promotion,candidate,
coxeter_honeycomb_435_slice,Coxeter Honeycomb 435 Slice,3d / hyperbolic tiling,raymarched_sdf,camera_path,reference_candidate,id,KIFS/Coxeter raymarcher,Hyperbolic architecture and cathedral-like flythroughs,Coxeter honeycomb source check,performance + accessible description,promoted to reference tier in frontier_reference_microbatch_2_2026_06_06,promoted_reference,frontier_reference_microbatch_2_2026_06_06
hyperbolic_honeycomb_534_slice,Hyperbolic Honeycomb 534 Slice,3d / hyperbolic tiling,raymarched_sdf,camera_path,reference_candidate,id,reference first; raymarch prototype,Rare visual category beyond standard fractal apps,hyperbolic honeycomb source check,source + prototype,promoted to reference tier in frontier_reference_microbatch_3_2026_06_06,promoted_reference,frontier_reference_microbatch_3_2026_06_06
jos_leys_sphere_inversion_scene,Jos Leys Sphere-Inversion Scene,3d / inversive geometry,raymarched_sdf,camera_path,reference_candidate,none,sphere inversion raymarcher,Beautiful reflective inversion scenes,Jos Leys/inversive geometry source check,license/provenance + shader proof,new-or-nonexact; run alias/dedup before promotion,candidate,
kali_set_3d_fold_system,Kali Set 3D Fold System,3d / folded systems,raymarched_sdf,time_parametric,reference_candidate,none,folded-space raymarcher,Glassy crystalline forms with simple formulas,Kali set source check,shader compile + frame budget,new-or-nonexact; run alias/dedup before promotion,candidate,
twisted_menger_sponge,Twisted Menger Sponge,3d / fractal solids,raymarched_sdf,camera_path,reference_candidate,none,variant of existing Menger shader,Recognizable shape with premium twist animation,Menger/twist SDF source check,dedup as variant not new family if appropriate,new-or-nonexact; run alias/dedup before promotion,candidate,
icosahedral_sierpinski_gasket_3d,Icosahedral Sierpinski Gasket 3D,3d / polyhedral IFS,raymarched_sdf,camera_path,reference_candidate,none,polyhedral fold shader,Symmetric crystalline fractal object,polyhedral IFS source check,compile + default camera,new-or-nonexact; run alias/dedup before promotion,candidate,
dodecahedral_fold_fractal,Dodecahedral Fold Fractal,3d / polyhedral IFS,raymarched_sdf,camera_path,reference_candidate,id,polyhedral fold shader,Organic crystal/shell look from simple folds,polyhedral fold source check,frame budget proof,promoted to reference tier in frontier_reference_microbatch_3_2026_06_06,promoted_reference,frontier_reference_microbatch_3_2026_06_06
4d_polychoron_fold_slice,4D Polychoron Fold Slice,4d / hypercomplex,raymarched_slice,parameter_morph,reference_candidate,id,reference first; 4D slice prototype,Expands catalog into rare 4D geometry,polytope/kaleidoscope source check,clear slice semantics,promoted to reference tier in frontier_reference_microbatch_3_2026_06_06,promoted_reference,frontier_reference_microbatch_3_2026_06_06
clifford_torus_projection_fractal,Clifford Torus Projection Fractal,4d / projection,single_pass_or_raymarch,camera_path,reference_candidate,none,projection shader prototype,Elegant high-dimensional math-art entry,Clifford torus source check,projection formula + visual proof,new-or-nonexact; run alias/dedup before promotion,candidate,
knot_complement_limit_set_visual,Knot-Complement Limit-Set Visual,hyperbolic topology,reference_first,camera_path,reference_candidate,none,reference/catalog research first,Extremely distinctive if sourced correctly,hyperbolic knot complement source check,do not app-admit without formula/prototype,new-or-nonexact; run alias/dedup before promotion,candidate,
hat_monotile_patch_growth,Hat Monotile Patch Growth,tiling / aperiodic,procedural_geometry,growth_process,reference_candidate,none,reference first; geometry renderer later,Modern math-news appeal; animated patch growth,Smith hat monotile source check,license/source + geometry test,new-or-nonexact; run alias/dedup before promotion,candidate,
spectre_monotile_patch_growth,Spectre Monotile Patch Growth,tiling / aperiodic,procedural_geometry,growth_process,reference_candidate,none,reference first; geometry renderer later,Nonperiodic monotile without reflections; high novelty,spectre monotile source check,source + patch validation,new-or-nonexact; run alias/dedup before promotion,candidate,
ammann_beenker_inflation_animation,Ammann-Beenker Inflation Animation,tiling / aperiodic,procedural_geometry,parameter_morph,reference_candidate,none,tiling renderer/prototype,Octagonal quasiperiodic tilings with teachable construction,Ammann-Beenker source check,inflation rule + screenshot proof,new-or-nonexact; run alias/dedup before promotion,candidate,
pinwheel_tiling_fractal_boundary,Pinwheel Tiling Fractal Boundary,tiling / substitution,procedural_geometry,growth_process,reference_candidate,none,tiling renderer/prototype,Infinite orientations; distinctive substitution behavior,Pinwheel tiling source check,inflation rule validation,new-or-nonexact; run alias/dedup before promotion,candidate,
rauzy_fractal_tribonacci_tile,Rauzy Fractal Tribonacci Tile,tiling / substitution,procedural_geometry_or_reference,parameter_morph,reference_candidate,none,reference first; point-cloud prototype,Deep symbolic-dynamics category for encyclopedia scale,Rauzy fractal source check,construction + dedup,new-or-nonexact; run alias/dedup before promotion,candidate,
n_bonacci_word_fractal_atlas,n-Bonacci Word Fractal Atlas,word fractals,procedural_geometry,growth_process,reference_candidate,none,L-system/word renderer,Scales into many reference entries with honest family grouping,word fractal source check,avoid preset-count inflation,new-or-nonexact; run alias/dedup before promotion,candidate,
fibonacci_word_curve,Fibonacci Word Curve,word fractals,procedural_geometry,growth_process,reference_candidate,none,L-system/word renderer,Simple construction; great educational animation,Fibonacci word fractal source check,rewrite rule + render proof,new-or-nonexact; run alias/dedup before promotion,candidate,
paperfolding_curve_atlas,Paperfolding Curve Atlas,space-filling / folding,procedural_geometry,growth_process,reference_candidate,id,L-system construction reveal,Animated folding sequence is screen-reader explainable,paperfolding curve source check,construction stage validation,promoted to reference tier in frontier_reference_microbatch_3_2026_06_06,promoted_reference,frontier_reference_microbatch_3_2026_06_06
modular_tessellation_fundamental_domain,Modular Tessellation Fundamental Domain,number theory / hyperbolic,single_pass_geometry,parameter_morph,reference_candidate,id,hyperbolic tiling shader,"Connects fractals, modular forms, and hyperbolic geometry",modular group source check,source + coordinate proof,promoted to reference tier in frontier_reference_microbatch_3_2026_06_06,promoted_reference,frontier_reference_microbatch_3_2026_06_06
farey_tessellation_explorer,Farey Tessellation Explorer,number theory / hyperbolic,single_pass_geometry,camera_path,reference_candidate,none,extend Farey diagram shader,Number-theory tree with beautiful circle/arc packing,Farey tessellation source check,dedup against Farey diagram shader,new-or-nonexact; run alias/dedup before promotion,candidate,
ford_circle_packing,Ford Circle Packing,number theory,single_pass_geometry,camera_path,reference_candidate,none,circle-packing shader,"Visually clear, educational, zoomable number theory",Ford circles source check,circle formula + antialias proof,new-or-nonexact; run alias/dedup before promotion,candidate,
apollonian_ford_circle_hybrid,Apollonian-Ford Circle Hybrid,number theory / packing,single_pass_geometry,camera_path,reference_candidate,none,circle-packing shader,Combines two beloved packing families,Ford/Apollonian source check,construction provenance,new-or-nonexact; run alias/dedup before promotion,candidate,
stern_brocot_tree_fractal_map,Stern-Brocot Tree Fractal Map,number theory,procedural_geometry,growth_process,reference_candidate,none,tree/tiling renderer,Explains rationals as a branching fractal,Stern-Brocot source check,tree generation proof,new-or-nonexact; run alias/dedup before promotion,candidate,
minkowski_question_mark_function_detail,Minkowski Question-Mark Function Detail,number theory,cpu_or_shader_plot,camera_path,reference_candidate,none,plot renderer/prototype,Singular fractal function; rare app content,Minkowski question mark source check,plot accuracy + accessibility text,new-or-nonexact; run alias/dedup before promotion,candidate,
gaussian_prime_spiral,Gaussian Prime Spiral,number theory,procedural_geometry,camera_path,reference_candidate,none,integer lattice shader/prototype,Prime patterns on complex integer lattice,Gaussian prime source check,primality bounds + visual proof,new-or-nonexact; run alias/dedup before promotion,candidate,
eisenstein_prime_lattice,Eisenstein Prime Lattice,number theory,procedural_geometry,camera_path,reference_candidate,none,hex lattice shader/prototype,Hexagonal prime fractal alternative to Ulam,Eisenstein integer source check,lattice/primality proof,new-or-nonexact; run alias/dedup before promotion,candidate,
collatz_inverse_tree_texture,Collatz Inverse Tree Texture,number theory,procedural_tree,growth_process,reference_candidate,none,tree renderer/prototype,Famous unsolved-problem energy with branching visuals,Collatz source check,bounded tree + no false claims,new-or-nonexact; run alias/dedup before promotion,candidate,
pascal_triangle_mod_p_atlas,Pascal Triangle mod p Atlas,number theory / cellular,single_pass_geometry,parameter_morph,reference_candidate,none,modular arithmetic shader,Sierpinski generalization across primes,Lucas theorem/Pascal mod p source check,parameter limits + dedup as atlas,new-or-nonexact; run alias/dedup before promotion,candidate,
p_adic_julia_set_slice,p-adic Julia Set Slice,number theory / p-adic,reference_first,parameter_morph,reference_candidate,none,reference then CPU prototype,Rare mathematical frontier for world catalog,p-adic dynamics source check,clear metric/model; no fake complex plot,new-or-nonexact; run alias/dedup before promotion,candidate,
lenia_orbium,Lenia Orbium,stateful morphogenesis,stateful_grid,stateful_grid,reference_candidate,none,prototype ping-pong or CPU state first,Smooth living cellular automaton; amazing animation target,Lenia/Orbium source check,stateful renderer + deterministic seed,new-or-nonexact; run alias/dedup before promotion,candidate,
physarum_slime_mold_network,Physarum Slime Mold Network,stateful morphogenesis,stateful_grid_or_particles,stateful_grid,reference_candidate,none,prototype particle/texture state,Vein-like transport networks; compelling growth timelapse,Physarum model source check,state/performance proof,new-or-nonexact; run alias/dedup before promotion,candidate,
abelian_sandpile_avalanche,Abelian Sandpile Avalanche,cellular automata,stateful_grid,stateful_grid,reference_candidate,none,CPU or ping-pong prototype,Self-organized criticality with iconic fractal avalanches,Bak-Tang-Wiesenfeld source check,stateful proof + reduced motion,new-or-nonexact; run alias/dedup before promotion,candidate,
cyclic_cellular_automata_waves,Cyclic Cellular Automata Waves,cellular automata,stateful_grid,stateful_grid,reference_candidate,none,ping-pong prototype,Colorful wavefronts; animation-friendly,cyclic CA source check,grid state + loop/fallback,new-or-nonexact; run alias/dedup before promotion,candidate,
brian_s_brain_cellular_automaton,Brian's Brain Cellular Automaton,cellular automata,stateful_grid,stateful_grid,reference_candidate,none,ping-pong prototype,Classic birth/death wave automaton,Brian's Brain source check,stateful renderer proof,new-or-nonexact; run alias/dedup before promotion,candidate,
wireworld_circuit_fractal,Wireworld Circuit Fractal,cellular automata,stateful_grid,stateful_grid,reference_candidate,none,grid renderer/prototype,Animated logic circuits can self-similarize,Wireworld source check,not app-visible until state path,new-or-nonexact; run alias/dedup before promotion,candidate,
highlife_replicator_growth,HighLife Replicator Growth,cellular automata,stateful_grid,stateful_grid,reference_candidate,none,grid renderer/prototype,Replicating patterns show visible self-similar growth,HighLife CA source check,stateful proof + frame delta,new-or-nonexact; run alias/dedup before promotion,candidate,
forest_fire_spread_and_regrowth,Forest-Fire Spread and Regrowth,cellular automata / natural,stateful_grid,stateful_grid,reference_candidate,none,grid renderer/prototype,Accessible natural process with fractal clusters,forest-fire model source check,state + stochastic seed determinism,new-or-nonexact; run alias/dedup before promotion,candidate,
percolation_front_growth,Percolation Front Growth,stochastic / statistical,stateful_grid_or_single_pass,growth_process,reference_candidate,none,single-pass threshold preview; stateful later,Teaches critical phenomena and fractal clusters,percolation source check,deterministic seed + cluster proof,new-or-nonexact; run alias/dedup before promotion,candidate,
gray_scott_true_stateful_simulation,Gray-Scott True Stateful Simulation,reaction diffusion,stateful_grid,stateful_grid,reference_candidate,none,ping-pong prototype; separate from current approximation,True morphogenesis animation differentiator,Gray-Scott source check,stateful texture proof; do not confuse with procedural shader,new-or-nonexact; run alias/dedup before promotion,candidate,
brusselator_reaction_diffusion,Brusselator Reaction-Diffusion,reaction diffusion,stateful_grid,stateful_grid,reference_candidate,none,reference first; ping-pong prototype,Chemical oscillation patterns beyond Gray-Scott,Brusselator source check,stateful renderer proof,new-or-nonexact; run alias/dedup before promotion,candidate,
oregonator_bz_spiral_waves,Oregonator BZ Spiral Waves,reaction diffusion,stateful_grid,stateful_grid,reference_candidate,none,reference first; ping-pong prototype,Belousov-Zhabotinsky spirals are visually iconic,Oregonator/BZ source check,stateful proof + parameters,new-or-nonexact; run alias/dedup before promotion,candidate,
fitzhugh_nagumo_excitable_media,FitzHugh-Nagumo Excitable Media,reaction diffusion,stateful_grid,stateful_grid,reference_candidate,none,reference first; ping-pong prototype,Neural/chemical pulse waves with organic motion,FitzHugh-Nagumo source check,stateful proof,new-or-nonexact; run alias/dedup before promotion,candidate,
gierer_meinhardt_activator_inhibitor,Gierer-Meinhardt Activator-Inhibitor,reaction diffusion,stateful_grid,stateful_grid,reference_candidate,none,reference first; ping-pong prototype,Biological spot/stripe pattern formation,Gierer-Meinhardt source check,stateful proof,new-or-nonexact; run alias/dedup before promotion,candidate,
cahn_hilliard_phase_separation,Cahn-Hilliard Phase Separation,morphogenesis / PDE,stateful_grid,stateful_grid,reference_candidate,none,reference first; prototype,Coarsening labyrinths and droplets over time,Cahn-Hilliard source check,numerical stability proof,new-or-nonexact; run alias/dedup before promotion,candidate,
swift_hohenberg_stripe_formation,Swift-Hohenberg Stripe Formation,morphogenesis / PDE,stateful_grid,stateful_grid,reference_candidate,none,reference first; prototype,Stripe/roll pattern dynamics,Swift-Hohenberg source check,numerical stability proof,new-or-nonexact; run alias/dedup before promotion,candidate,
complex_ginzburg_landau_turbulence,Complex Ginzburg-Landau Turbulence,morphogenesis / PDE,stateful_grid,stateful_grid,reference_candidate,none,reference first; prototype,Colorful spiral turbulence; high wow factor,Ginzburg-Landau source check,stateful + performance proof,new-or-nonexact; run alias/dedup before promotion,candidate,
dielectric_breakdown_model_growth,Dielectric Breakdown Model Growth,natural growth / stochastic,stateful_or_stateless_growth,growth_process,reference_candidate,none,current Lichtenberg preview; true DBM later,Lightning/electric branching is instantly legible,DBM source check,distinguish approximation vs true simulation,new-or-nonexact; run alias/dedup before promotion,candidate,
diffusion_limited_aggregation_crystal,Diffusion-Limited Aggregation Crystal,natural growth / stochastic,stateful_particles_or_grid,growth_process,reference_candidate,none,prototype stateful particle accumulation,Classic branching clusters and snowflake-like crystals,DLA source check,stateful proof + deterministic seed,new-or-nonexact; run alias/dedup before promotion,candidate,
electrodeposition_fractal_front,Electrodeposition Fractal Front,natural growth / physical,stateful_grid,growth_process,reference_candidate,none,reference first; prototype,Metallic dendrite growth; visually dramatic,electrodeposition source check,stateful proof,new-or-nonexact; run alias/dedup before promotion,candidate,
corrosion_front_fractal,Corrosion Front Fractal,natural growth / physical,stateful_grid_or_noise,growth_process,reference_candidate,none,stateless preview; stateful later,Rust/corrosion edge expansion is accessible,corrosion/fracture source check,honesty note + frame delta,new-or-nonexact; run alias/dedup before promotion,candidate,
mud_crack_network_growth,Mud-Crack Network Growth,natural growth / fracture,procedural_geometry_or_state,growth_process,reference_candidate,none,Voronoi/crack shader prototype,Everyday natural fractal; good thumbnails,crack pattern source check,construction + no placeholder,new-or-nonexact; run alias/dedup before promotion,candidate,
river_drainage_basin_growth,River Drainage Basin Growth,natural growth / terrain,procedural_geometry_or_state,growth_process,reference_candidate,none,heightfield/flow accumulation prototype,Landscape-scale fractal networks,geomorphology source check,algorithm + accessibility description,new-or-nonexact; run alias/dedup before promotion,candidate,
snow_crystal_cellular_growth,Snow Crystal Cellular Growth,natural growth / cellular,stateful_grid,growth_process,reference_candidate,none,stateful snowflake prototype,Beautiful symmetric growth; animation gold,snow crystal CA source check,stateful renderer + symmetry validation,new-or-nonexact; run alias/dedup before promotion,candidate,
coral_accretion_growth,Coral Accretion Growth,natural growth / biological,stateful_particles_or_grid,growth_process,reference_candidate,none,reference first; prototype,Organic reef-like branching and encrusting forms,coral growth model source check,stateful/procedural honesty,new-or-nonexact; run alias/dedup before promotion,candidate,
leaf_venation_growth,Leaf Venation Growth,natural growth / biological,procedural_geometry_or_state,growth_process,reference_candidate,none,space-colonization algorithm prototype,Accessible plant fractal with construction animation,leaf venation source check,algorithm proof,new-or-nonexact; run alias/dedup before promotion,candidate,
vascular_tree_pulse_growth,Vascular Tree Pulse Growth,natural growth / biological,procedural_geometry,growth_process,reference_candidate,none,L-system/space-colonization renderer,Medical/nature crossover; animated branching,vascular tree source check,construction proof,new-or-nonexact; run alias/dedup before promotion,candidate,
neuron_dendrite_arbor,Neuron Dendrite Arbor,natural growth / biological,procedural_geometry,growth_process,reference_candidate,none,branching renderer/prototype,Biological fractal structure with educational copy,neuronal arbor source check,source + accessibility text,new-or-nonexact; run alias/dedup before promotion,candidate,
phyllotaxis_bloom_animation,Phyllotaxis Bloom Animation,botanical,single_pass_geometry,parameter_morph,reference_candidate,none,spiral seed shader,Sunflower/plant growth is highly understandable,phyllotaxis source check,parameter loop + visual proof,new-or-nonexact; run alias/dedup before promotion,candidate,
mycelium_network_growth,Mycelium Network Growth,natural growth / biological,stateful_particles_or_grid,growth_process,reference_candidate,none,prototype particles/field,Fungal networks are trendy and visually rich,mycelium model source check,stateful proof,new-or-nonexact; run alias/dedup before promotion,candidate,
buddhabrot_progressive_reveal,Buddhabrot Progressive Reveal,progressive orbit density,progressive_accumulation,progressive_accumulation,reference_candidate,none,accumulation prototype; current preview validation only,Nebula-like reveal; classic fractal art,Buddhabrot source check,histogram accumulation proof,new-or-nonexact; run alias/dedup before promotion,candidate,
nebulabrot_rgb_accumulation,Nebulabrot RGB Accumulation,progressive orbit density,progressive_accumulation,progressive_accumulation,reference_candidate,none,RGB iteration-window accumulator,Colorful cosmic visuals; export-worthy,Nebulabrot source check,accumulation + deterministic seed,new-or-nonexact; run alias/dedup before promotion,candidate,
anti_buddhabrot_reveal,Anti-Buddhabrot Reveal,progressive orbit density,progressive_accumulation,progressive_accumulation,reference_candidate,none,orbit-density accumulator,Complements Buddhabrot with escaping/non-escaping contrast,Anti-Buddhabrot source check,definition + accumulator proof,new-or-nonexact; run alias/dedup before promotion,candidate,
fractal_flame_progressive_histogram,Fractal Flame Progressive Histogram,fractal flames,progressive_accumulation,progressive_accumulation,reference_candidate,none,prototype histogram accumulation,Unlocks Apophysis/Electric Sheep-style catalog depth,Fractal flame source check,density accumulator before true implemented claim,new-or-nonexact; run alias/dedup before promotion,candidate,
electric_sheep_flame_mutation_loop,Electric Sheep Flame Mutation Loop,fractal flames / animated,progressive_accumulation,parameter_morph,reference_candidate,none,reference first; mutation path prototype,Animated generative-art heritage; huge cool factor,Electric Sheep/flame source check,license/provenance + loop proof,new-or-nonexact; run alias/dedup before promotion,candidate,
